name,system_DC_capacity_W,address,orientation,num_outputs,last_output,system_id,panel,inverter,distance_km,latitude,longitude,country
OostaSolar,20475,Finland,W,1355,Yesterday,78594,Longi LR4-72HBD-455M,Fronius Symo 8.2kW+15kW,15.8,67.95541,23.684297,Finland
Far out north,5985,Sweden,S,2752,Yesterday,45811,JA-Solar,Fronius Symo 5.0-3-M,23.1,67.841931,20.275183,Sweden
Balettstigen,4480,Sweden,SE,3106,Yesterday,37400,JA Solar JAM6(L) 60-280/PR,Fronius Symo 4.5-S,14.6,65.793294,21.740582,Sweden
OuluGolf,28000,Finland,SW,792,78 weeks ago,74925,Eurener PEPV 280,SMA Sunny Tripower 25000TL-30,8.6,64.979006,25.704693,Finland
Jäkälätie,3360,Finland,SW,1965,Yesterday,74922,Heckert ,Steca 5003,19.0,64.894502,25.566077,Finland
Holmsunds Elbilsbränslen,5400,Sweden,SE,1362,157 weeks ago,65073,IBC MonoSol 300SX,Fronius Symo,13.3,63.694969,20.362699,Sweden
Husbyn 121,13750,Sweden,SE,2851,Yesterday,46742,CSUN,SolarEdge SE12.5k,24.1,63.353761,19.153033,Sweden
Loke 110,10400,Sweden,SW,2665,47 weeks ago,27698,ReneSola JC260M-24/Bbv,SMA Sunny Tripower 10000TL-10,15.2,62.989254,14.801256,Sweden
Haapala Ranchi,3360,Finland,SW,894,137 weeks ago,67095,Na,ABB Trio 7.5,24.1,62.898229,22.075193,Finland
Tomi's Home,4690,Finland,EW,1473,Yesterday,25916,Trinasolar,Fronius,23.0,62.842162,27.698991,Finland
Myren-Steivang 1,10360,Norway,S,624,Yesterday,91485,.,Growatt,24.2,62.267863,10.743685,Norway
Hormikuja Kauhajoki,5700,Finland,S,1556,70 weeks ago,62654,Astronergy,Fronius Symo Hybrid 5.0-3-S,9.1,62.410173,22.182223,Finland
Oikari,4320,Finland,S,651,171 weeks ago,67205,Trisolar,-,12.9,62.402599,25.522925,Finland
Antinmutka 16,4400,Finland,S,1836,Yesterday,65728,csun 275-60p,Fronius Symo 6.0-3-m,16.6,62.158969,25.750248,Finland
Oksakuja,6840,Finland,SE,399,Yesterday,94490,,Fronius 6.0,16.6,62.15492,25.758133,Finland
Umhvørvisstovan,11200,Faroe Islands,N,1308,Yesterday,79735,Hyundai HIS-S280RG,Fronius Symo 10.0-3-M,5.6,61.99721,-6.783092,Faroe Islands
Mutalasolar 1,7000,Finland,S,3211,Yesterday,36063,Solarwatt Blue 60p,SMA Sunny Tripower 7000TL,20.2,61.647694,23.712327,Finland
kk10,6400,Finland,S,1729,Yesterday,69405,Vikram,Fronius Symo,15.2,61.477629,23.932117,Finland
Jäkälä,8200,Finland,W,384,Yesterday,94864,Astroenergy,Growatt MOD 7000TL3-X,16.9,61.46157,23.822351,Finland
Kangasala,2340,Finland,SW,1796,15 days ago,58652,SunRise,3 x MPP PIP5048MK,10.4,61.46183,24.223846,Finland
Uusitalo,5200,Finland,SE,2098,Yesterday,61243,Vikram ELDORA VSPB.60.AAA.03,Fronius Symo 5.0-3-M,16.4,61.378562,23.778052,Finland
Aurinko_sepi,4240,Finland,S,763,77 weeks ago,54715,Trinasolar,Fronius symo,21.4,60.98818,24.301555,Finland
Aurinko_Makinen,2650,Finland,SW,2284,Yesterday,54610,Trinasolar,Fronius symo ,23.3,60.979937,24.418606,Finland
Varme & Rorteknik AB,10860,Sweden,SE,1837,Yesterday,66798,Dmegc Solitek LG Viessmann,Solaredge SE6K,3.8,60.932513,16.543976,Sweden
